OxLPC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_choline&C2H3O2,NL_R1CO&CH3&C2H3O2,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(22:2(OH))+C2H3O2,650.403915,576.367115,505.293615,242.0799,224.0693,168.0431,152.9958,351.29047,96.9696,78.9591
OxLPC(22:3(OH))+C2H3O2,648.388315,574.351515,503.278015,242.0799,224.0693,168.0431,152.9958,349.27487,96.9696,78.9591
OxLPC(22:4(OH))+C2H3O2,646.372615,572.335815,501.262315,242.0799,224.0693,168.0431,152.9958,347.25917,96.9696,78.9591
OxLPC(22:5(OH))+C2H3O2,644.357015,570.320215,499.246715,242.0799,224.0693,168.0431,152.9958,345.24357,96.9696,78.9591
OxLPC(22:6(OH))+C2H3O2,642.341315,568.304515,497.231015,242.0799,224.0693,168.0431,152.9958,343.22787,96.9696,78.9591
OxLPC(24:1(OH))+C2H3O2,680.450915,606.414115,535.340615,242.0799,224.0693,168.0431,152.9958,381.33747,96.9696,78.9591
OxLPC(14:1(OO))+C2H3O2,556.289335,482.252535,411.179035,242.0799,224.0693,168.0431,152.9958,257.17589,96.9696,78.9591
OxLPC(15:1(OO))+C2H3O2,570.304935,496.268135,425.194635,242.0799,224.0693,168.0431,152.9958,271.19149,96.9696,78.9591
OxLPC(16:1(OO))+C2H3O2,584.320635,510.283835,439.210335,242.0799,224.0693,168.0431,152.9958,285.20719,96.9696,78.9591
OxLPC(17:1(OO))+C2H3O2,598.336235,524.299435,453.225935,242.0799,224.0693,168.0431,152.9958,299.22279,96.9696,78.9591
OxLPC(17:2(OO))+C2H3O2,596.320635,522.283835,451.210335,242.0799,224.0693,168.0431,152.9958,297.20719,96.9696,78.9591
OxLPC(18:1(OO))+C2H3O2,612.351935,538.315135,467.241635,242.0799,224.0693,168.0431,152.9958,313.23849,96.9696,78.9591
OxLPC(18:3(OO))+C2H3O2,608.320635,534.283835,463.210335,242.0799,224.0693,168.0431,152.9958,309.20719,96.9696,78.9591
OxLPC(18:4(OO))+C2H3O2,606.304935,532.268135,461.194635,242.0799,224.0693,168.0431,152.9958,307.19149,96.9696,78.9591
OxLPC(20:1(OO))+C2H3O2,640.383235,566.346435,495.272935,242.0799,224.0693,168.0431,152.9958,341.26979,96.9696,78.9591
OxLPC(20:2(OO))+C2H3O2,638.367535,564.330735,493.257235,242.0799,224.0693,168.0431,152.9958,339.25409,96.9696,78.9591
OxLPC(20:3(OO))+C2H3O2,636.351935,562.315135,491.241635,242.0799,224.0693,168.0431,152.9958,337.23849,96.9696,78.9591
OxLPC(20:5(OO))+C2H3O2,632.320635,558.283835,487.210335,242.0799,224.0693,168.0431,152.9958,333.20719,96.9696,78.9591
OxLPC(22:1(OO))+C2H3O2,668.414535,594.377735,523.304235,242.0799,224.0693,168.0431,152.9958,369.30109,96.9696,78.9591
OxLPC(22:2(OO))+C2H3O2,666.398835,592.362035,521.288535,242.0799,224.0693,168.0431,152.9958,367.28539,96.9696,78.9591
OxLPC(22:3(OO))+C2H3O2,664.383235,590.346435,519.272935,242.0799,224.0693,168.0431,152.9958,365.26979,96.9696,78.9591
OxLPC(22:4(OO))+C2H3O2,662.367535,588.330735,517.257235,242.0799,224.0693,168.0431,152.9958,363.25409,96.9696,78.9591
OxLPC(22:5(OO))+C2H3O2,660.351935,586.315135,515.241635,242.0799,224.0693,168.0431,152.9958,361.23849,96.9696,78.9591
OxLPC(22:6(OO))+C2H3O2,658.336235,584.299435,513.225935,242.0799,224.0693,168.0431,152.9958,359.22279,96.9696,78.9591
OxLPC(24:1(OO))+C2H3O2,696.445835,622.409035,551.335535,242.0799,224.0693,168.0431,152.9958,397.33239,96.9696,78.9591
OxLPC(14:1(OOO))+C2H3O2,572.284255,498.247455,427.173955,242.0799,224.0693,168.0431,152.9958,273.17081,96.9696,78.9591
OxLPC(15:1(OOO))+C2H3O2,586.299855,512.263055,441.189555,242.0799,224.0693,168.0431,152.9958,287.18641,96.9696,78.9591
OxLPC(16:1(OOO))+C2H3O2,600.315555,526.278755,455.205255,242.0799,224.0693,168.0431,152.9958,301.20211,96.9696,78.9591
OxLPC(17:1(OOO))+C2H3O2,614.331155,540.294355,469.220855,242.0799,224.0693,168.0431,152.9958,315.21771,96.9696,78.9591
OxLPC(17:2(OOO))+C2H3O2,612.315555,538.278755,467.205255,242.0799,224.0693,168.0431,152.9958,313.20211,96.9696,78.9591
OxLPC(18:1(OOO))+C2H3O2,628.346855,554.310055,483.236555,242.0799,224.0693,168.0431,152.9958,329.23341,96.9696,78.9591
OxLPC(18:2(OOO))+C2H3O2,626.331155,552.294355,481.220855,242.0799,224.0693,168.0431,152.9958,327.21771,96.9696,78.9591
OxLPC(18:3(OOO))+C2H3O2,624.315555,550.278755,479.205255,242.0799,224.0693,168.0431,152.9958,325.20211,96.9696,78.9591
OxLPC(18:4(OOO))+C2H3O2,622.299855,548.263055,477.189555,242.0799,224.0693,168.0431,152.9958,323.18641,96.9696,78.9591
OxLPC(20:1(OOO))+C2H3O2,656.378155,582.341355,511.267855,242.0799,224.0693,168.0431,152.9958,357.26471,96.9696,78.9591
OxLPC(20:2(OOO))+C2H3O2,654.362455,580.325655,509.252155,242.0799,224.0693,168.0431,152.9958,355.24901,96.9696,78.9591
OxLPC(20:3(OOO))+C2H3O2,652.346855,578.310055,507.236555,242.0799,224.0693,168.0431,152.9958,353.23341,96.9696,78.9591
OxLPC(20:4(OOO))+C2H3O2,650.331155,576.294355,505.220855,242.0799,224.0693,168.0431,152.9958,351.21771,96.9696,78.9591
OxLPC(20:5(OOO))+C2H3O2,648.315555,574.278755,503.205255,242.0799,224.0693,168.0431,152.9958,349.20211,96.9696,78.9591
OxLPC(22:1(OOO))+C2H3O2,684.409455,610.372655,539.299155,242.0799,224.0693,168.0431,152.9958,385.29601,96.9696,78.9591
OxLPC(22:2(OOO))+C2H3O2,682.393755,608.356955,537.283455,242.0799,224.0693,168.0431,152.9958,383.28031,96.9696,78.9591
OxLPC(22:3(OOO))+C2H3O2,680.378155,606.341355,535.267855,242.0799,224.0693,168.0431,152.9958,381.26471,96.9696,78.9591
OxLPC(22:4(OOO))+C2H3O2,678.362455,604.325655,533.252155,242.0799,224.0693,168.0431,152.9958,379.24901,96.9696,78.9591
OxLPC(22:5(OOO))+C2H3O2,676.346855,602.310055,531.236555,242.0799,224.0693,168.0431,152.9958,377.23341,96.9696,78.9591
OxLPC(22:6(OOO))+C2H3O2,674.331155,600.294355,529.220855,242.0799,224.0693,168.0431,152.9958,375.21771,96.9696,78.9591
OxLPC(24:1(OOO))+C2H3O2,712.440755,638.403955,567.330455,242.0799,224.0693,168.0431,152.9958,413.32731,96.9696,78.9591
OxLPC(14:1(OOOO))+C2H3O2,588.279175,514.242375,443.168875,242.0799,224.0693,168.0431,152.9958,289.16573,96.9696,78.9591
OxLPC(15:1(OOOO))+C2H3O2,602.294775,528.257975,457.184475,242.0799,224.0693,168.0431,152.9958,303.18133,96.9696,78.9591
OxLPC(16:1(OOOO))+C2H3O2,616.310475,542.273675,471.200175,242.0799,224.0693,168.0431,152.9958,317.19703,96.9696,78.9591
OxLPC(17:1(OOOO))+C2H3O2,630.326075,556.289275,485.215775,242.0799,224.0693,168.0431,152.9958,331.21263,96.9696,78.9591
OxLPC(17:2(OOOO))+C2H3O2,628.310475,554.273675,483.200175,242.0799,224.0693,168.0431,152.9958,329.19703,96.9696,78.9591
OxLPC(18:1(OOOO))+C2H3O2,644.341775,570.304975,499.231475,242.0799,224.0693,168.0431,152.9958,345.22833,96.9696,78.9591
OxLPC(18:2(OOOO))+C2H3O2,642.326075,568.289275,497.215775,242.0799,224.0693,168.0431,152.9958,343.21263,96.9696,78.9591
OxLPC(18:3(OOOO))+C2H3O2,640.310475,566.273675,495.200175,242.0799,224.0693,168.0431,152.9958,341.19703,96.9696,78.9591
OxLPC(18:4(OOOO))+C2H3O2,638.294775,564.257975,493.184475,242.0799,224.0693,168.0431,152.9958,339.18133,96.9696,78.9591
OxLPC(20:1(OOOO))+C2H3O2,672.373075,598.336275,527.262775,242.0799,224.0693,168.0431,152.9958,373.25963,96.9696,78.9591
OxLPC(20:2(OOOO))+C2H3O2,670.357375,596.320575,525.247075,242.0799,224.0693,168.0431,152.9958,371.24393,96.9696,78.9591
OxLPC(20:3(OOOO))+C2H3O2,668.341775,594.304975,523.231475,242.0799,224.0693,168.0431,152.9958,369.22833,96.9696,78.9591
OxLPC(20:4(OOOO))+C2H3O2,666.326075,592.289275,521.215775,242.0799,224.0693,168.0431,152.9958,367.21263,96.9696,78.9591
OxLPC(20:5(OOOO))+C2H3O2,664.310475,590.273675,519.200175,242.0799,224.0693,168.0431,152.9958,365.19703,96.9696,78.9591
OxLPC(22:1(OOOO))+C2H3O2,700.404375,626.367575,555.294075,242.0799,224.0693,168.0431,152.9958,401.29093,96.9696,78.9591
OxLPC(22:2(OOOO))+C2H3O2,698.388675,624.351875,553.278375,242.0799,224.0693,168.0431,152.9958,399.27523,96.9696,78.9591
OxLPC(22:3(OOOO))+C2H3O2,696.373075,622.336275,551.262775,242.0799,224.0693,168.0431,152.9958,397.25963,96.9696,78.9591
OxLPC(22:4(OOOO))+C2H3O2,694.357375,620.320575,549.247075,242.0799,224.0693,168.0431,152.9958,395.24393,96.9696,78.9591
OxLPC(22:5(OOOO))+C2H3O2,692.341775,618.304975,547.231475,242.0799,224.0693,168.0431,152.9958,393.22833,96.9696,78.9591
OxLPC(22:6(OOOO))+C2H3O2,690.326075,616.289275,545.215775,242.0799,224.0693,168.0431,152.9958,391.21263,96.9696,78.9591
OxLPC(24:1(OOOO))+C2H3O2,728.435675,654.398875,583.325375,242.0799,224.0693,168.0431,152.9958,429.32223,96.9696,78.9591
OxLPC(14:1(Ke))+C2H3O2,538.278755,464.241955,393.168455,242.0799,224.0693,168.0431,152.9958,239.16531,96.9696,78.9591
OxLPC(15:1(Ke))+C2H3O2,552.294355,478.257555,407.184055,242.0799,224.0693,168.0431,152.9958,253.18091,96.9696,78.9591
OxLPC(16:1(Ke))+C2H3O2,566.310055,492.273255,421.199755,242.0799,224.0693,168.0431,152.9958,267.19661,96.9696,78.9591
OxLPC(17:1(Ke))+C2H3O2,580.325655,506.288855,435.215355,242.0799,224.0693,168.0431,152.9958,281.21221,96.9696,78.9591
OxLPC(17:2(Ke))+C2H3O2,578.310055,504.273255,433.199755,242.0799,224.0693,168.0431,152.9958,279.19661,96.9696,78.9591
OxLPC(18:1(Ke))+C2H3O2,594.341355,520.304555,449.231055,242.0799,224.0693,168.0431,152.9958,295.22791,96.9696,78.9591
OxLPC(18:2(Ke))+C2H3O2,592.325655,518.288855,447.215355,242.0799,224.0693,168.0431,152.9958,293.21221,96.9696,78.9591
OxLPC(18:3(Ke))+C2H3O2,590.310055,516.273255,445.199755,242.0799,224.0693,168.0431,152.9958,291.19661,96.9696,78.9591
OxLPC(18:4(Ke))+C2H3O2,588.294355,514.257555,443.184055,242.0799,224.0693,168.0431,152.9958,289.18091,96.9696,78.9591
OxLPC(20:1(Ke))+C2H3O2,622.372655,548.335855,477.262355,242.0799,224.0693,168.0431,152.9958,323.25921,96.9696,78.9591
OxLPC(20:2(Ke))+C2H3O2,620.356955,546.320155,475.246655,242.0799,224.0693,168.0431,152.9958,321.24351,96.9696,78.9591
OxLPC(20:3(Ke))+C2H3O2,618.341355,544.304555,473.231055,242.0799,224.0693,168.0431,152.9958,319.22791,96.9696,78.9591
OxLPC(20:5(Ke))+C2H3O2,614.310055,540.273255,469.199755,242.0799,224.0693,168.0431,152.9958,315.19661,96.9696,78.9591
OxLPC(22:1(Ke))+C2H3O2,650.403955,576.367155,505.293655,242.0799,224.0693,168.0431,152.9958,351.29051,96.9696,78.9591
OxLPC(22:2(Ke))+C2H3O2,648.388255,574.351455,503.277955,242.0799,224.0693,168.0431,152.9958,349.27481,96.9696,78.9591
OxLPC(22:3(Ke))+C2H3O2,646.372655,572.335855,501.262355,242.0799,224.0693,168.0431,152.9958,347.25921,96.9696,78.9591
OxLPC(22:4(Ke))+C2H3O2,644.356955,570.320155,499.246655,242.0799,224.0693,168.0431,152.9958,345.24351,96.9696,78.9591
OxLPC(22:5(Ke))+C2H3O2,642.341355,568.304555,497.231055,242.0799,224.0693,168.0431,152.9958,343.22791,96.9696,78.9591
OxLPC(22:6(Ke))+C2H3O2,640.325655,566.288855,495.215355,242.0799,224.0693,168.0431,152.9958,341.21221,96.9696,78.9591
OxLPC(24:1(Ke))+C2H3O2,678.435255,604.398455,533.324955,242.0799,224.0693,168.0431,152.9958,379.32181,96.9696,78.9591
"OxLPC(14:1(Ke,OH))+C2H3O2",554.273675,480.236875,409.163375,242.0799,224.0693,168.0431,152.9958,255.16023,96.9696,78.9591
"OxLPC(15:1(Ke,OH))+C2H3O2",568.289275,494.252475,423.178975,242.0799,224.0693,168.0431,152.9958,269.17583,96.9696,78.9591
"OxLPC(16:1(Ke,OH))+C2H3O2",582.304975,508.268175,437.194675,242.0799,224.0693,168.0431,152.9958,283.19153,96.9696,78.9591
"OxLPC(17:1(Ke,OH))+C2H3O2",596.320575,522.283775,451.210275,242.0799,224.0693,168.0431,152.9958,297.20713,96.9696,78.9591
"OxLPC(17:2(Ke,OH))+C2H3O2",594.304975,520.268175,449.194675,242.0799,224.0693,168.0431,152.9958,295.19153,96.9696,78.9591
"OxLPC(18:1(Ke,OH))+C2H3O2",610.336275,536.299475,465.225975,242.0799,224.0693,168.0431,152.9958,311.22283,96.9696,78.9591
"OxLPC(18:2(Ke,OH))+C2H3O2",608.320575,534.283775,463.210275,242.0799,224.0693,168.0431,152.9958,309.20713,96.9696,78.9591
"OxLPC(18:3(Ke,OH))+C2H3O2",606.304975,532.268175,461.194675,242.0799,224.0693,168.0431,152.9958,307.19153,96.9696,78.9591
"OxLPC(18:4(Ke,OH))+C2H3O2",604.289275,530.252475,459.178975,242.0799,224.0693,168.0431,152.9958,305.17583,96.9696,78.9591
"OxLPC(20:1(Ke,OH))+C2H3O2",638.367575,564.330775,493.257275,242.0799,224.0693,168.0431,152.9958,339.25413,96.9696,78.9591
"OxLPC(20:2(Ke,OH))+C2H3O2",636.351875,562.315075,491.241575,242.0799,224.0693,168.0431,152.9958,337.23843,96.9696,78.9591
"OxLPC(20:3(Ke,OH))+C2H3O2",634.336275,560.299475,489.225975,242.0799,224.0693,168.0431,152.9958,335.22283,96.9696,78.9591
"OxLPC(20:4(Ke,OH))+C2H3O2",632.320575,558.283775,487.210275,242.0799,224.0693,168.0431,152.9958,333.20713,96.9696,78.9591
"OxLPC(20:5(Ke,OH))+C2H3O2",630.304975,556.268175,485.194675,242.0799,224.0693,168.0431,152.9958,331.19153,96.9696,78.9591
"OxLPC(22:1(Ke,OH))+C2H3O2",666.398875,592.362075,521.288575,242.0799,224.0693,168.0431,152.9958,367.28543,96.9696,78.9591
"OxLPC(22:2(Ke,OH))+C2H3O2",664.383175,590.346375,519.272875,242.0799,224.0693,168.0431,152.9958,365.26973,96.9696,78.9591
"OxLPC(22:3(Ke,OH))+C2H3O2",662.367575,588.330775,517.257275,242.0799,224.0693,168.0431,152.9958,363.25413,96.9696,78.9591
"OxLPC(22:4(Ke,OH))+C2H3O2",660.351875,586.315075,515.241575,242.0799,224.0693,168.0431,152.9958,361.23843,96.9696,78.9591
"OxLPC(22:5(Ke,OH))+C2H3O2",658.336275,584.299475,513.225975,242.0799,224.0693,168.0431,152.9958,359.22283,96.9696,78.9591
"OxLPC(22:6(Ke,OH))+C2H3O2",656.320575,582.283775,511.210275,242.0799,224.0693,168.0431,152.9958,357.20713,96.9696,78.9591
"OxLPC(24:1(Ke,OH))+C2H3O2",694.430175,620.393375,549.319875,242.0799,224.0693,168.0431,152.9958,395.31673,96.9696,78.9591
