SM,[HC2H3O2]-,M-CH3,FA(16:0)-H,(P-Cho)-CH3-H
SM(d16:0/20:4)+C2H3O2,783.5658,709.5243,303.2329,168.0431
SM(d16:0/20:5)+C2H3O2,781.5502,707.5087,301.2173,168.0431
SM(d16:0/21:0)+C2H3O2,805.6441,731.6026,325.3112,168.0431
SM(d16:0/22:0)+C2H3O2,819.6597,745.6182,339.3268,168.0431
SM(d16:0/22:1)+C2H3O2,817.6441,743.6026,337.3112,168.0431
SM(d16:0/22:2)+C2H3O2,815.6284,741.5869,335.2955,168.0431
SM(d16:0/22:3)+C2H3O2,813.6128,739.5713,333.2799,168.0431
SM(d16:0/22:4)+C2H3O2,811.5971,737.5556,331.2642,168.0431
SM(d16:0/22:5)+C2H3O2,809.5815,735.54,329.2486,168.0431
SM(d16:0/22:6)+C2H3O2,807.5658,733.5243,327.2329,168.0431
SM(d16:0/23:0)+C2H3O2,833.6754,759.6339,353.3425,168.0431
SM(d16:0/24:0)+C2H3O2,847.691,773.6495,367.3581,168.0431
SM(d16:0/24:1)+C2H3O2,845.6754,771.6339,365.3425,168.0431
SM(d16:0/25:0)+C2H3O2,861.7067,787.6652,381.3738,168.0431
SM(d16:0/26:0)+C2H3O2,875.7223,801.6808,395.3894,168.0431
SM(d16:0/8:0)+C2H3O2,623.4406,549.3991,143.1077,168.0431
SM(d16:1/10:0)+C2H3O2,649.4563,575.4148,171.139,168.0431
SM(d16:1/12:0)+C2H3O2,677.4876,603.4461,199.1703,168.0431
SM(d16:1/13:0)+C2H3O2,691.5033,617.4618,213.186,168.0431
SM(d16:1/14:0)+C2H3O2,705.5189,631.4774,227.2016,168.0431
SM(d16:1/14:1)+C2H3O2,703.5033,629.4618,225.186,168.0431
SM(d16:1/15:0)+C2H3O2,719.5346,645.4931,241.2173,168.0431
SM(d16:1/15:1)+C2H3O2,717.5189,643.4774,239.2016,168.0431
SM(d16:1/16:0)+C2H3O2,733.5502,659.5087,255.2329,168.0431
SM(d16:1/16:1)+C2H3O2,731.5346,657.4931,253.2173,168.0431
SM(d16:1/17:0)+C2H3O2,747.5659,673.5244,269.2486,168.0431
SM(d16:1/17:1)+C2H3O2,745.5502,671.5087,267.2329,168.0431
SM(d16:1/17:2)+C2H3O2,743.5346,669.4931,265.2173,168.0431
SM(d16:1/18:0)+C2H3O2,761.5815,687.54,283.2642,168.0431
SM(d16:1/18:1)+C2H3O2,759.5659,685.5244,281.2486,168.0431
SM(d16:1/18:2)+C2H3O2,757.5502,683.5087,279.2329,168.0431
SM(d16:1/18:3)+C2H3O2,755.5346,681.4931,277.2173,168.0431
SM(d16:1/18:4)+C2H3O2,753.5189,679.4774,275.2016,168.0431
SM(d16:1/19:0)+C2H3O2,775.5972,701.5557,297.2799,168.0431
SM(d16:1/20:0)+C2H3O2,789.6128,715.5713,311.2955,168.0431
SM(d16:1/20:1)+C2H3O2,787.5972,713.5557,309.2799,168.0431
SM(d16:1/20:2)+C2H3O2,785.5815,711.54,307.2642,168.0431
SM(d16:1/20:3)+C2H3O2,783.5659,709.5244,305.2486,168.0431
SM(d16:1/20:4)+C2H3O2,781.5502,707.5087,303.2329,168.0431
SM(d16:1/20:5)+C2H3O2,779.5346,705.4931,301.2173,168.0431
SM(d16:1/21:0)+C2H3O2,803.6285,729.587,325.3112,168.0431
SM(d16:1/22:0)+C2H3O2,817.6441,743.6026,339.3268,168.0431
SM(d16:1/22:1)+C2H3O2,815.6285,741.587,337.3112,168.0431
SM(d16:1/22:2)+C2H3O2,813.6128,739.5713,335.2955,168.0431
SM(d16:1/22:3)+C2H3O2,811.5972,737.5557,333.2799,168.0431
SM(d16:1/22:4)+C2H3O2,809.5815,735.54,331.2642,168.0431
SM(d16:1/22:5)+C2H3O2,807.5659,733.5244,329.2486,168.0431
SM(d16:1/22:6)+C2H3O2,805.5502,731.5087,327.2329,168.0431
SM(d16:1/23:0)+C2H3O2,831.6598,757.6183,353.3425,168.0431
SM(d16:1/24:0)+C2H3O2,845.6754,771.6339,367.3581,168.0431
SM(d16:1/24:1)+C2H3O2,843.6598,769.6183,365.3425,168.0431
SM(d16:1/25:0)+C2H3O2,859.6911,785.6496,381.3738,168.0431
SM(d16:1/26:0)+C2H3O2,873.7067,799.6652,395.3894,168.0431
SM(d16:1/8:0)+C2H3O2,621.425,547.3835,143.1077,168.0431
SM(d17:0/10:0)+C2H3O2,665.4876,591.4461,171.139,168.0431
SM(d17:0/12:0)+C2H3O2,693.5189,619.4774,199.1703,168.0431
SM(d17:0/13:0)+C2H3O2,707.5346,633.4931,213.186,168.0431
SM(d17:0/14:0)+C2H3O2,721.5502,647.5087,227.2016,168.0431
SM(d17:0/14:1)+C2H3O2,719.5346,645.4931,225.186,168.0431
SM(d17:0/15:0)+C2H3O2,735.5659,661.5244,241.2173,168.0431
SM(d17:0/15:1)+C2H3O2,733.5502,659.5087,239.2016,168.0431
SM(d17:0/16:0)+C2H3O2,749.5815,675.54,255.2329,168.0431
SM(d17:0/16:1)+C2H3O2,747.5659,673.5244,253.2173,168.0431
SM(d17:0/17:0)+C2H3O2,763.5972,689.5557,269.2486,168.0431
SM(d17:0/17:1)+C2H3O2,761.5815,687.54,267.2329,168.0431
SM(d17:0/17:2)+C2H3O2,759.5659,685.5244,265.2173,168.0431
SM(d17:0/18:0)+C2H3O2,777.6128,703.5713,283.2642,168.0431
SM(d17:0/18:1)+C2H3O2,775.5972,701.5557,281.2486,168.0431
SM(d17:0/18:2)+C2H3O2,773.5815,699.54,279.2329,168.0431
SM(d17:0/18:3)+C2H3O2,771.5659,697.5244,277.2173,168.0431
SM(d17:0/18:4)+C2H3O2,769.5502,695.5087,275.2016,168.0431
SM(d17:0/19:0)+C2H3O2,791.6285,717.587,297.2799,168.0431
SM(d17:0/20:0)+C2H3O2,805.6441,731.6026,311.2955,168.0431
SM(d17:0/20:1)+C2H3O2,803.6285,729.587,309.2799,168.0431
SM(d17:0/20:2)+C2H3O2,801.6128,727.5713,307.2642,168.0431
SM(d17:0/20:3)+C2H3O2,799.5972,725.5557,305.2486,168.0431
SM(d17:0/20:4)+C2H3O2,797.5815,723.54,303.2329,168.0431
SM(d17:0/20:5)+C2H3O2,795.5659,721.5244,301.2173,168.0431
SM(d17:0/21:0)+C2H3O2,819.6598,745.6183,325.3112,168.0431
SM(d17:0/22:0)+C2H3O2,833.6754,759.6339,339.3268,168.0431
SM(d17:0/22:1)+C2H3O2,831.6598,757.6183,337.3112,168.0431
SM(d17:0/22:2)+C2H3O2,829.6441,755.6026,335.2955,168.0431
SM(d17:0/22:3)+C2H3O2,827.6285,753.587,333.2799,168.0431
SM(d17:0/22:4)+C2H3O2,825.6128,751.5713,331.2642,168.0431
SM(d17:0/22:5)+C2H3O2,823.5972,749.5557,329.2486,168.0431
SM(d17:0/22:6)+C2H3O2,821.5815,747.54,327.2329,168.0431
SM(d17:0/23:0)+C2H3O2,847.6911,773.6496,353.3425,168.0431
SM(d17:0/24:0)+C2H3O2,861.7067,787.6652,367.3581,168.0431
SM(d17:0/24:1)+C2H3O2,859.6911,785.6496,365.3425,168.0431
SM(d17:0/25:0)+C2H3O2,875.7224,801.6809,381.3738,168.0431
SM(d17:0/26:0)+C2H3O2,889.738,815.6965,395.3894,168.0431
SM(d17:0/8:0)+C2H3O2,637.4563,563.4148,143.1077,168.0431
SM(d17:1/10:0)+C2H3O2,663.4719,589.4304,171.139,168.0431
SM(d17:1/12:0)+C2H3O2,691.5032,617.4617,199.1703,168.0431
SM(d17:1/13:0)+C2H3O2,705.5189,631.4774,213.186,168.0431
SM(d17:1/14:0)+C2H3O2,719.5345,645.493,227.2016,168.0431
SM(d17:1/14:1)+C2H3O2,717.5189,643.4774,225.186,168.0431
SM(d17:1/15:0)+C2H3O2,733.5502,659.5087,241.2173,168.0431
SM(d17:1/15:1)+C2H3O2,731.5345,657.493,239.2016,168.0431
SM(d17:1/16:0)+C2H3O2,747.5658,673.5243,255.2329,168.0431
SM(d17:1/16:1)+C2H3O2,745.5502,671.5087,253.2173,168.0431
SM(d17:1/17:0)+C2H3O2,761.5815,687.54,269.2486,168.0431
SM(d17:1/17:1)+C2H3O2,759.5658,685.5243,267.2329,168.0431
SM(d17:1/17:2)+C2H3O2,757.5502,683.5087,265.2173,168.0431
SM(d17:1/18:0)+C2H3O2,775.5971,701.5556,283.2642,168.0431
SM(d17:1/18:1)+C2H3O2,773.5815,699.54,281.2486,168.0431
SM(d17:1/18:2)+C2H3O2,771.5658,697.5243,279.2329,168.0431
SM(d17:1/18:3)+C2H3O2,769.5502,695.5087,277.2173,168.0431
SM(d17:1/18:4)+C2H3O2,767.5345,693.493,275.2016,168.0431
SM(d17:1/19:0)+C2H3O2,789.6128,715.5713,297.2799,168.0431
SM(d17:1/20:0)+C2H3O2,803.6284,729.5869,311.2955,168.0431
SM(d17:1/20:1)+C2H3O2,801.6128,727.5713,309.2799,168.0431
SM(d17:1/20:2)+C2H3O2,799.5971,725.5556,307.2642,168.0431
SM(d17:1/20:3)+C2H3O2,797.5815,723.54,305.2486,168.0431
SM(d17:1/20:4)+C2H3O2,795.5658,721.5243,303.2329,168.0431
SM(d17:1/20:5)+C2H3O2,793.5502,719.5087,301.2173,168.0431
SM(d17:1/21:0)+C2H3O2,817.6441,743.6026,325.3112,168.0431
SM(d17:1/22:0)+C2H3O2,831.6597,757.6182,339.3268,168.0431
SM(d17:1/22:1)+C2H3O2,829.6441,755.6026,337.3112,168.0431
SM(d17:1/22:2)+C2H3O2,827.6284,753.5869,335.2955,168.0431
SM(d17:1/22:3)+C2H3O2,825.6128,751.5713,333.2799,168.0431
SM(d17:1/22:4)+C2H3O2,823.5971,749.5556,331.2642,168.0431
SM(d17:1/22:5)+C2H3O2,821.5815,747.54,329.2486,168.0431
SM(d17:1/22:6)+C2H3O2,819.5658,745.5243,327.2329,168.0431
SM(d17:1/23:0)+C2H3O2,845.6754,771.6339,353.3425,168.0431
SM(d17:1/24:0)+C2H3O2,859.691,785.6495,367.3581,168.0431
SM(d17:1/24:1)+C2H3O2,857.6754,783.6339,365.3425,168.0431
SM(d17:1/25:0)+C2H3O2,873.7067,799.6652,381.3738,168.0431
SM(d17:1/26:0)+C2H3O2,887.7223,813.6808,395.3894,168.0431
SM(d17:1/8:0)+C2H3O2,635.4406,561.3991,143.1077,168.0431
SM(d17:2/10:0)+C2H3O2,661.4563,587.4148,171.139,168.0431
SM(d17:2/12:0)+C2H3O2,689.4876,615.4461,199.1703,168.0431
SM(d17:2/13:0)+C2H3O2,703.5033,629.4618,213.186,168.0431
SM(d17:2/14:0)+C2H3O2,717.5189,643.4774,227.2016,168.0431
SM(d17:2/14:1)+C2H3O2,715.5033,641.4618,225.186,168.0431
SM(d17:2/15:0)+C2H3O2,731.5346,657.4931,241.2173,168.0431
SM(d17:2/15:1)+C2H3O2,729.5189,655.4774,239.2016,168.0431
SM(d17:2/16:0)+C2H3O2,745.5502,671.5087,255.2329,168.0431
SM(d17:2/16:1)+C2H3O2,743.5346,669.4931,253.2173,168.0431
SM(d17:2/17:0)+C2H3O2,759.5659,685.5244,269.2486,168.0431
SM(d17:2/17:1)+C2H3O2,757.5502,683.5087,267.2329,168.0431
SM(d17:2/17:2)+C2H3O2,755.5346,681.4931,265.2173,168.0431
SM(d17:2/18:0)+C2H3O2,773.5815,699.54,283.2642,168.0431
SM(d17:2/18:1)+C2H3O2,771.5659,697.5244,281.2486,168.0431
SM(d17:2/18:2)+C2H3O2,769.5502,695.5087,279.2329,168.0431
SM(d17:2/18:3)+C2H3O2,767.5346,693.4931,277.2173,168.0431
SM(d17:2/18:4)+C2H3O2,765.5189,691.4774,275.2016,168.0431
SM(d17:2/19:0)+C2H3O2,787.5972,713.5557,297.2799,168.0431
SM(d17:2/20:0)+C2H3O2,801.6128,727.5713,311.2955,168.0431
SM(d17:2/20:1)+C2H3O2,799.5972,725.5557,309.2799,168.0431
SM(d17:2/20:2)+C2H3O2,797.5815,723.54,307.2642,168.0431
SM(d17:2/20:3)+C2H3O2,795.5659,721.5244,305.2486,168.0431
SM(d17:2/20:4)+C2H3O2,793.5502,719.5087,303.2329,168.0431
SM(d17:2/20:5)+C2H3O2,791.5346,717.4931,301.2173,168.0431
SM(d17:2/21:0)+C2H3O2,815.6285,741.587,325.3112,168.0431
SM(d17:2/22:0)+C2H3O2,829.6441,755.6026,339.3268,168.0431
SM(d17:2/22:1)+C2H3O2,827.6285,753.587,337.3112,168.0431
SM(d17:2/22:2)+C2H3O2,825.6128,751.5713,335.2955,168.0431
SM(d17:2/22:3)+C2H3O2,823.5972,749.5557,333.2799,168.0431
SM(d17:2/22:4)+C2H3O2,821.5815,747.54,331.2642,168.0431
SM(d17:2/22:5)+C2H3O2,819.5659,745.5244,329.2486,168.0431
SM(d17:2/22:6)+C2H3O2,817.5502,743.5087,327.2329,168.0431
SM(d17:2/23:0)+C2H3O2,843.6598,769.6183,353.3425,168.0431
SM(d17:2/24:0)+C2H3O2,857.6754,783.6339,367.3581,168.0431
SM(d17:2/24:1)+C2H3O2,855.6598,781.6183,365.3425,168.0431
SM(d17:2/25:0)+C2H3O2,871.6911,797.6496,381.3738,168.0431
SM(d17:2/26:0)+C2H3O2,885.7067,811.6652,395.3894,168.0431
SM(d17:2/8:0)+C2H3O2,633.425,559.3835,143.1077,168.0431
SM(d18:0/10:0)+C2H3O2,679.5032,605.4617,171.139,168.0431
SM(d18:0/12:0)+C2H3O2,707.5345,633.493,199.1703,168.0431
SM(d18:0/13:0)+C2H3O2,721.5502,647.5087,213.186,168.0431
SM(d18:0/14:0)+C2H3O2,735.5658,661.5243,227.2016,168.0431
SM(d18:0/14:1)+C2H3O2,733.5502,659.5087,225.186,168.0431
SM(d18:0/15:0)+C2H3O2,749.5815,675.54,241.2173,168.0431
SM(d18:0/15:1)+C2H3O2,747.5658,673.5243,239.2016,168.0431
SM(d18:0/16:0)+C2H3O2,763.5971,689.5556,255.2329,168.0431
SM(d18:0/16:1)+C2H3O2,761.5815,687.54,253.2173,168.0431
SM(d18:0/17:0)+C2H3O2,777.6128,703.5713,269.2486,168.0431
SM(d18:0/17:1)+C2H3O2,775.5971,701.5556,267.2329,168.0431
SM(d18:0/17:2)+C2H3O2,773.5815,699.54,265.2173,168.0431
SM(d18:0/18:0)+C2H3O2,791.6284,717.5869,283.2642,168.0431
SM(d18:0/18:1)+C2H3O2,789.6128,715.5713,281.2486,168.0431
SM(d18:0/18:2)+C2H3O2,787.5971,713.5556,279.2329,168.0431
SM(d18:0/18:3)+C2H3O2,785.5815,711.54,277.2173,168.0431
SM(d18:0/18:4)+C2H3O2,783.5658,709.5243,275.2016,168.0431
SM(d18:0/19:0)+C2H3O2,805.6441,731.6026,297.2799,168.0431
SM(d18:0/20:0)+C2H3O2,819.6597,745.6182,311.2955,168.0431
SM(d18:0/20:1)+C2H3O2,817.6441,743.6026,309.2799,168.0431
SM(d18:0/20:2)+C2H3O2,815.6284,741.5869,307.2642,168.0431
SM(d18:0/20:3)+C2H3O2,813.6128,739.5713,305.2486,168.0431
SM(d18:0/20:4)+C2H3O2,811.5971,737.5556,303.2329,168.0431
SM(d18:0/20:5)+C2H3O2,809.5815,735.54,301.2173,168.0431
SM(d18:0/21:0)+C2H3O2,833.6754,759.6339,325.3112,168.0431
SM(d18:0/22:0)+C2H3O2,847.691,773.6495,339.3268,168.0431
SM(d18:0/22:1)+C2H3O2,845.6754,771.6339,337.3112,168.0431
SM(d18:0/22:2)+C2H3O2,843.6597,769.6182,335.2955,168.0431
SM(d18:0/22:3)+C2H3O2,841.6441,767.6026,333.2799,168.0431
SM(d18:0/22:4)+C2H3O2,839.6284,765.5869,331.2642,168.0431
SM(d18:0/22:5)+C2H3O2,837.6128,763.5713,329.2486,168.0431
SM(d18:0/22:6)+C2H3O2,835.5971,761.5556,327.2329,168.0431
SM(d18:0/23:0)+C2H3O2,861.7067,787.6652,353.3425,168.0431
SM(d18:0/24:0)+C2H3O2,875.7223,801.6808,367.3581,168.0431
SM(d18:0/24:1)+C2H3O2,873.7067,799.6652,365.3425,168.0431
SM(d18:0/25:0)+C2H3O2,889.738,815.6965,381.3738,168.0431
SM(d18:0/26:0)+C2H3O2,903.7536,829.7121,395.3894,168.0431
SM(d18:0/8:0)+C2H3O2,651.4719,577.4304,143.1077,168.0431
SM(d18:1/10:0)+C2H3O2,677.4876,603.4461,171.139,168.0431
SM(d18:1/12:0)+C2H3O2,705.5189,631.4774,199.1703,168.0431
SM(d18:1/13:0)+C2H3O2,719.5346,645.4931,213.186,168.0431
SM(d18:1/14:0)+C2H3O2,733.5502,659.5087,227.2016,168.0431
SM(d18:1/14:1)+C2H3O2,731.5346,657.4931,225.186,168.0431
SM(d18:1/15:0)+C2H3O2,747.5659,673.5244,241.2173,168.0431
SM(d18:1/15:1)+C2H3O2,745.5502,671.5087,239.2016,168.0431
SM(d18:1/16:0)+C2H3O2,761.5815,687.54,255.2329,168.0431
SM(d18:1/16:1)+C2H3O2,759.5659,685.5244,253.2173,168.0431
SM(d18:1/17:0)+C2H3O2,775.5972,701.5557,269.2486,168.0431
SM(d18:1/17:1)+C2H3O2,773.5815,699.54,267.2329,168.0431
SM(d18:1/17:2)+C2H3O2,771.5659,697.5244,265.2173,168.0431
SM(d18:1/18:0)+C2H3O2,789.6128,715.5713,283.2642,168.0431
SM(d18:1/18:1)+C2H3O2,787.5972,713.5557,281.2486,168.0431
SM(d18:1/18:2)+C2H3O2,785.5815,711.54,279.2329,168.0431
SM(d18:1/18:3)+C2H3O2,783.5659,709.5244,277.2173,168.0431
SM(d18:1/18:4)+C2H3O2,781.5502,707.5087,275.2016,168.0431
SM(d18:1/19:0)+C2H3O2,803.6285,729.587,297.2799,168.0431
SM(d18:1/20:0)+C2H3O2,817.6441,743.6026,311.2955,168.0431
SM(d18:1/20:1)+C2H3O2,815.6285,741.587,309.2799,168.0431
SM(d18:1/20:2)+C2H3O2,813.6128,739.5713,307.2642,168.0431
SM(d18:1/20:3)+C2H3O2,811.5972,737.5557,305.2486,168.0431
SM(d18:1/20:4)+C2H3O2,809.5815,735.54,303.2329,168.0431
SM(d18:1/20:5)+C2H3O2,807.5659,733.5244,301.2173,168.0431
SM(d18:1/21:0)+C2H3O2,831.6598,757.6183,325.3112,168.0431
SM(d18:1/22:0)+C2H3O2,845.6754,771.6339,339.3268,168.0431
SM(d18:1/22:1)+C2H3O2,843.6598,769.6183,337.3112,168.0431
SM(d18:1/22:2)+C2H3O2,841.6441,767.6026,335.2955,168.0431
SM(d18:1/22:3)+C2H3O2,839.6285,765.587,333.2799,168.0431
SM(d18:1/22:4)+C2H3O2,837.6128,763.5713,331.2642,168.0431
SM(d18:1/22:5)+C2H3O2,835.5972,761.5557,329.2486,168.0431
SM(d18:1/22:6)+C2H3O2,833.5815,759.54,327.2329,168.0431
SM(d18:1/23:0)+C2H3O2,859.6911,785.6496,353.3425,168.0431
SM(d18:1/24:0)+C2H3O2,873.7067,799.6652,367.3581,168.0431
SM(d18:1/24:1)+C2H3O2,871.6911,797.6496,365.3425,168.0431
SM(d18:1/25:0)+C2H3O2,887.7224,813.6809,381.3738,168.0431
SM(d18:1/26:0)+C2H3O2,901.738,827.6965,395.3894,168.0431
SM(d18:1/8:0)+C2H3O2,649.4563,575.4148,143.1077,168.0431
SM(d18:2/10:0)+C2H3O2,675.4719,601.4304,171.139,168.0431
SM(d18:2/12:0)+C2H3O2,703.5032,629.4617,199.1703,168.0431
SM(d18:2/13:0)+C2H3O2,717.5189,643.4774,213.186,168.0431
SM(d18:2/14:0)+C2H3O2,731.5345,657.493,227.2016,168.0431
SM(d18:2/14:1)+C2H3O2,729.5189,655.4774,225.186,168.0431
SM(d18:2/15:0)+C2H3O2,745.5502,671.5087,241.2173,168.0431
SM(d18:2/15:1)+C2H3O2,743.5345,669.493,239.2016,168.0431
SM(d18:2/16:0)+C2H3O2,759.5658,685.5243,255.2329,168.0431
SM(d18:2/16:1)+C2H3O2,757.5502,683.5087,253.2173,168.0431
SM(d18:2/17:0)+C2H3O2,773.5815,699.54,269.2486,168.0431
SM(d18:2/17:1)+C2H3O2,771.5658,697.5243,267.2329,168.0431
SM(d18:2/17:2)+C2H3O2,769.5502,695.5087,265.2173,168.0431
SM(d18:2/18:0)+C2H3O2,787.5971,713.5556,283.2642,168.0431
SM(d18:2/18:1)+C2H3O2,785.5815,711.54,281.2486,168.0431
SM(d18:2/18:2)+C2H3O2,783.5658,709.5243,279.2329,168.0431
SM(d18:2/18:3)+C2H3O2,781.5502,707.5087,277.2173,168.0431
SM(d18:2/18:4)+C2H3O2,779.5345,705.493,275.2016,168.0431
SM(d18:2/19:0)+C2H3O2,801.6128,727.5713,297.2799,168.0431
SM(d18:2/20:0)+C2H3O2,815.6284,741.5869,311.2955,168.0431
SM(d18:2/20:1)+C2H3O2,813.6128,739.5713,309.2799,168.0431
SM(d18:2/20:2)+C2H3O2,811.5971,737.5556,307.2642,168.0431
SM(d18:2/20:3)+C2H3O2,809.5815,735.54,305.2486,168.0431
SM(d18:2/20:4)+C2H3O2,807.5658,733.5243,303.2329,168.0431
SM(d18:2/20:5)+C2H3O2,805.5502,731.5087,301.2173,168.0431
SM(d18:2/21:0)+C2H3O2,829.6441,755.6026,325.3112,168.0431
SM(d18:2/22:0)+C2H3O2,843.6597,769.6182,339.3268,168.0431
SM(d18:2/22:1)+C2H3O2,841.6441,767.6026,337.3112,168.0431
SM(d18:2/22:2)+C2H3O2,839.6284,765.5869,335.2955,168.0431
SM(d18:2/22:3)+C2H3O2,837.6128,763.5713,333.2799,168.0431
SM(d18:2/22:4)+C2H3O2,835.5971,761.5556,331.2642,168.0431
SM(d18:2/22:5)+C2H3O2,833.5815,759.54,329.2486,168.0431
SM(d18:2/22:6)+C2H3O2,831.5658,757.5243,327.2329,168.0431
SM(d18:2/23:0)+C2H3O2,857.6754,783.6339,353.3425,168.0431
SM(d18:2/24:0)+C2H3O2,871.691,797.6495,367.3581,168.0431
SM(d18:2/24:1)+C2H3O2,869.6754,795.6339,365.3425,168.0431
SM(d18:2/25:0)+C2H3O2,885.7067,811.6652,381.3738,168.0431
SM(d18:2/26:0)+C2H3O2,899.7223,825.6808,395.3894,168.0431
SM(d18:2/8:0)+C2H3O2,647.4406,573.3991,143.1077,168.0431
SM(d18:3/10:0)+C2H3O2,673.4563,599.4148,171.139,168.0431
SM(d18:3/12:0)+C2H3O2,701.4876,627.4461,199.1703,168.0431
SM(d18:3/13:0)+C2H3O2,715.5033,641.4618,213.186,168.0431
SM(d18:3/14:0)+C2H3O2,729.5189,655.4774,227.2016,168.0431
SM(d18:3/14:1)+C2H3O2,727.5033,653.4618,225.186,168.0431
SM(d18:3/15:0)+C2H3O2,743.5346,669.4931,241.2173,168.0431
SM(d18:3/15:1)+C2H3O2,741.5189,667.4774,239.2016,168.0431
